,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
50113,1.0,16.0,180.0,72.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,30.0,120.0
50114,1.0,16.0,180.0,67.8,1.0,4.0,1.0,1.0,2.0,5.0,2.0,2.0,180.0,360.0
50115,1.0,16.0,174.5,104.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0
50116,1.0,16.0,172.0,59.0,4.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0
50117,1.0,16.0,176.0,56.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
50118,1.0,17.0,173.0,72.0,2.0,3.0,2.0,8.0,1.0,4.0,2.0,2.0,30.0,120.0
50119,1.0,16.0,167.0,57.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0
50120,1.0,17.0,175.0,57.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
50121,1.0,16.0,166.0,62.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,180.0
50122,1.0,17.0,174.5,54.9,3.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,360.0
50123,1.0,17.0,166.0,70.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
50124,1.0,16.0,180.0,90.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0
50125,1.0,17.0,191.0,97.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0
50126,1.0,17.0,190.0,79.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
50127,2.0,17.0,164.0,82.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,180.0
50128,2.0,18.0,155.0,68.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0
50129,2.0,18.0,162.0,60.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,240.0,120.0
50130,2.0,17.0,160.0,42.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,60.0,120.0
50131,1.0,18.0,169.0,54.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,360.0
50132,1.0,17.0,170.0,74.0,4.0,4.0,5.0,1.0,2.0,4.0,1.0,1.0,240.0,600.0
50133,2.0,18.0,178.0,64.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,360.0,600.0
50134,2.0,18.0,160.0,60.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0
50135,2.0,17.0,151.4,45.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,60.0,300.0
50136,2.0,18.0,158.0,49.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0
50137,2.0,17.0,160.0,55.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,70.0,0.0
50138,2.0,17.0,166.0,45.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0
50139,1.0,17.0,170.0,78.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0
50140,2.0,18.0,167.0,60.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0
50141,1.0,17.0,170.0,60.0,4.0,3.0,1.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0
50142,1.0,17.0,160.0,52.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,210.0,420.0
50143,1.0,17.0,164.0,60.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,120.0,180.0
50144,1.0,18.0,174.6,68.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0
50145,1.0,18.0,174.0,72.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0
50146,1.0,18.0,183.0,93.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0
50147,2.0,17.0,160.0,68.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,120.0
50148,2.0,17.0,170.0,52.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,30.0,0.0
50149,2.0,18.0,160.0,60.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,120.0,180.0
50150,1.0,16.0,162.0,73.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,90.0,120.0
50151,1.0,15.0,160.0,36.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,120.0,0.0
50152,1.0,16.0,170.0,59.0,1.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,120.0,240.0
50153,1.0,15.0,162.0,53.0,4.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,120.0,0.0
50154,1.0,15.0,167.0,50.0,5.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,80.0,0.0
50155,1.0,15.0,174.0,95.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,180.0,0.0
50156,2.0,16.0,157.5,50.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0
50157,2.0,15.0,162.0,66.3,3.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0
50158,1.0,16.0,172.0,57.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,120.0,430.0
50159,1.0,15.0,167.0,78.0,2.0,4.0,2.0,8.0,2.0,5.0,2.0,1.0,120.0,300.0
50160,1.0,16.0,175.0,88.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,600.0,120.0
50161,1.0,16.0,178.0,65.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0
50162,2.0,16.0,153.0,56.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,60.0,0.0
50163,2.0,16.0,154.1,59.1,2.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,120.0,60.0
50164,2.0,16.0,155.0,54.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,60.0,60.0
50165,1.0,17.0,187.0,65.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0
50166,2.0,17.0,154.0,57.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0
50167,2.0,16.0,161.0,55.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,360.0,300.0
50168,2.0,16.0,160.5,57.8,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0
50169,2.0,17.0,157.2,55.0,3.0,5.0,3.0,6.0,2.0,4.0,2.0,2.0,600.0,600.0
50170,2.0,17.0,155.6,52.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,240.0,60.0
50171,2.0,16.0,164.0,45.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,180.0,420.0
50172,2.0,17.0,147.0,47.0,5.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0,180.0,120.0
50173,2.0,16.0,160.0,54.0,5.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0,60.0,30.0
50174,2.0,18.0,170.0,75.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0
50175,2.0,17.0,163.0,58.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,0.0,600.0
50176,2.0,16.0,159.0,57.0,5.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,180.0,120.0
50177,2.0,18.0,152.2,45.5,3.0,3.0,3.0,8.0,1.0,5.0,1.0,1.0,0.0,0.0
50178,2.0,17.0,153.8,55.2,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0
50179,2.0,18.0,157.0,57.0,4.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0
50180,2.0,17.0,151.0,46.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,120.0,60.0
50181,2.0,18.0,154.0,45.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,120.0,300.0
50182,1.0,18.0,178.0,65.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,120.0,120.0
50183,2.0,17.0,162.0,60.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,60.0,0.0
50184,2.0,17.0,154.6,60.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0
50185,2.0,18.0,156.0,49.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,300.0
50186,2.0,18.0,168.0,70.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0
50187,2.0,18.0,171.0,86.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,240.0,420.0
50188,2.0,17.0,165.0,55.0,5.0,4.0,2.0,1.0,2.0,5.0,2.0,2.0,0.0,0.0
50189,2.0,18.0,165.0,46.0,5.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,0.0,0.0
50190,1.0,12.0,174.0,85.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,250.0,420.0
50191,1.0,13.0,167.0,80.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0
50192,1.0,13.0,159.0,57.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,310.0,310.0
50193,1.0,13.0,183.3,79.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0
50194,1.0,13.0,173.0,58.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,60.0,120.0
50195,1.0,13.0,159.1,57.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,120.0,390.0
50196,1.0,12.0,168.0,58.0,3.0,1.0,1.0,8.0,2.0,2.0,2.0,2.0,60.0,0.0
50197,1.0,12.0,150.2,48.0,2.0,3.0,1.0,8.0,4.0,2.0,1.0,1.0,30.0,220.0
50198,1.0,12.0,153.3,52.7,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0
50199,1.0,12.0,156.4,64.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,120.0
50200,1.0,13.0,164.0,60.0,1.0,2.0,1.0,7.0,3.0,3.0,2.0,1.0,180.0,240.0
50201,1.0,13.0,162.0,43.0,2.0,2.0,1.0,8.0,4.0,2.0,1.0,1.0,60.0,180.0
50202,1.0,13.0,170.8,64.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,190.0,250.0
50203,1.0,12.0,161.0,47.0,2.0,1.0,1.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0
50204,1.0,13.0,167.0,74.0,4.0,3.0,1.0,8.0,4.0,4.0,1.0,1.0,0.0,300.0
